animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A682764,1,Tica,51,23,1,2012-07-02 00:00:00
A686932,1,,51,27,25,2014-08-07 00:00:00
A668562,1,Prof Butters,51,14,1,2013-10-05 00:00:00
A664658,1,*Trey,51,13,25,2013-08-16 00:00:00
A678103,1,,51,9,1,2014-04-25 00:00:00
A669591,1,,51,27,25,2012-12-23 00:00:00
A670044,1,,51,23,1,2011-01-01 00:00:00
A683766,1,Scout,51,42,1,2014-04-15 00:00:00
A666071,1,*June,51,42,1,2013-09-26 00:00:00
A671437,1,,51,42,1,2013-05-24 00:00:00
A664071,1,,51,25,27,2013-07-06 00:00:00
A682681,1,,51,27,25,2014-04-24 00:00:00
A691445,1,Ash,51,27,1,2011-11-04 00:00:00
A689447,1,*Izzy,51,27,25,2014-09-07 00:00:00
A686724,1,*Pudding,51,23,1,2013-08-25 00:00:00
A669363,1,Stephanie,11,25,27,2013-10-12 00:00:00
A682868,1,,51,22,25,2014-05-28 00:00:00
A680091,1,*Chloe,51,3,1,2014-01-29 00:00:00
A662820,1,*Indigo,51,27,1,2013-07-18 00:00:00
A664211,1,*Arnold,20,23,1,2013-08-30 00:00:00
A692267,1,*Bastet,51,27,1,2014-10-17 00:00:00
A672295,1,,11,42,1,2008-02-07 00:00:00
A685368,1,,51,3,1,2014-07-30 00:00:00
A680257,1,,51,6,27,2012-05-31 00:00:00
A684609,1,,51,25,23,2014-05-26 00:00:00
A689905,1,*Benny,51,27,1,2014-08-27 00:00:00
A671476,1,Smokey,64,23,1,2008-01-25 00:00:00
A673606,1,Gracie,51,23,1,2013-12-22 00:00:00
A678783,1,Ethel,51,27,1,2014-03-28 00:00:00
A669227,1,,51,13,25,2013-08-17 00:00:00
A677087,1,*Marco,51,22,25,2014-04-07 00:00:00
A674636,1,,51,42,1,2014-03-01 00:00:00
A679010,1,Chrissy,57,25,1,2012-05-15 00:00:00
A678670,1,Chiquita,51,42,1,2014-05-21 00:00:00
A668896,1,Sofie,51,27,25,2012-07-11 00:00:00
A685063,1,,51,22,25,2014-06-04 00:00:00
A687726,1,,51,23,25,2014-08-18 00:00:00
A683471,1,Frida,51,27,25,2013-11-10 00:00:00
A681904,1,Izzy,20,27,25,2014-04-21 00:00:00
A678741,1,,51,13,25,2014-04-18 00:00:00
A675725,1,Rosie,51,3,8,2010-04-18 00:00:00
A682797,1,*Starburst,51,14,1,2014-05-03 00:00:00
A671469,1,,51,8,1,2014-01-22 00:00:00
A341599,1,Reece,51,27,1,2004-01-18 00:00:00
A676021,1,,51,27,1,2014-03-31 00:00:00
A663723,1,Tornado,51,42,1,2013-07-16 00:00:00
A680556,1,,51,23,1,2014-04-12 00:00:00
A681307,1,*Scarlet,51,13,25,2008-06-14 00:00:00
A683215,1,X,51,42,1,2013-07-08 00:00:00
A675140,1,Garden,51,42,1,2013-03-25 00:00:00
A687651,1,,51,27,25,2014-05-08 00:00:00
A665741,1,Leia,51,42,1,2006-10-22 00:00:00
A662906,1,Stanley,51,23,1,2013-08-10 00:00:00
A691120,1,,51,27,25,2014-03-02 00:00:00
A686520,1,,51,42,1,2014-05-23 00:00:00
A664549,1,,56,3,1,2013-10-02 00:00:00
A676170,1,Chuy,51,14,1,2013-07-05 00:00:00
A679244,1,,51,27,1,2014-05-02 00:00:00
A678460,1,,51,14,1,2012-05-09 00:00:00
A693742,1,,51,23,1,2014-07-13 00:00:00
A666785,1,*Willow,51,14,1,2013-09-30 00:00:00
A560060,1,Gary,51,42,1,2009-08-06 00:00:00
A680766,1,Isla,51,42,1,2014-04-22 00:00:00
A679920,1,,51,42,1,2014-04-28 00:00:00
A692419,1,Sugar,4,20,1,2001-07-01 00:00:00
A679937,1,Mia,51,27,25,2014-03-28 00:00:00
A672912,1,,51,24,1,2013-02-18 00:00:00
